Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
Jacob Hollister,SEA,NA,26,11,3.7,31.7,NA,NA
Jacoby Brissett,IND,QB,27,15,0.1,0.1,15.2,3.7
Jaeden Graham,ATL,NA,24,16,0.6,9.3,NA,NA
Jake Kumerow,GNB,NA,27,14,0.9,15.6,NA,NA
Jakeem Grant,MIA,NA,27,10,1.9,16.4,0.5,0.4
Jakob Johnson,NWE,FB,25,4,0.3,1.3,NA,NA
Jakobi Meyers,NWE,NA,23,15,1.7,23.9,NA,NA
Jaleel Scott,BAL,NA,24,3,0.3,2,NA,NA
Jalen Richard,OAK,NA,26,16,2.3,20.2,9.1,2.4
Jamaal Williams,GNB,NA,24,14,2.8,18.1,32.9,7.6
Jamal Agnew,DET,NA,24,13,0.1,-0.2,0.7,0.1
Jameis Winston,TAM,QB,25,16,0,0,15.6,3.7
James Conner,PIT,RB,24,10,3.4,25.1,46.4,11.6
James Develin,NWE,NA,31,2,0,0,1.5,1
James O'Shaughnessy,JAX,TE,27,5,2.8,30.6,NA,NA
James Washington,PIT,WR,23,15,2.9,49,NA,NA
James White,NWE,NA,27,15,4.8,43,17.5,4.5
Jamison Crowder,NYJ,WR,26,16,4.9,52.1,0.3,0.1
Jared Cook,NOR,te,32,14,3.1,50.4,NA,NA
Jared Goff,LAR,QB,25,16,0,0,2.5,2.1
Jarius Wright,CAR,WR,30,16,1.8,18.5,-0.4,0.1
Jaron Brown,SEA,WR,29,14,1.1,15.7,NA,NA
Jarvis Landry,CLE,WR,27,16,5.2,73.4,0.6,0.1
Jason Moore,LAC,NA,24,10,0.2,4.3,NA,NA
Jason Sanders,MIA,NA,24,16,0.1,0.1,NA,NA
Jason Witten,DAL,TE,37,16,3.9,33.1,NA,NA
Javon Wims,CHI,wr,25,16,1.1,11.6,NA,NA
Javorius Allen,NYG,NA,28,10,0.1,0.9,3.6,1
Jay Ajayi,PHI,NA,26,3,0,0,10,3.3
Jaylen Samuels,PIT,NA,23,14,3.4,21.8,12.5,4.7
Jeff Driskel,DET,/qb,26,3,0.3,2,50.3,7.3
Jeff Heuerman,DEN,TE,27,14,1,8.1,NA,NA
Jeff Smith,NYJ,NA,22,1,1,12,NA,NA
Jeff Wilson,SFO,NA,24,10,0.3,3.4,10.5,2.7
Jeremy Sprinkle,WAS,TE,25,16,1.6,15.1,NA,NA
Jesper Horsted,CHI,NA,22,6,1.3,14.5,NA,NA
Jesse James,DET,TE,25,16,1,8.9,NA,NA
Jimmy Garoppolo,SFO,QB,28,16,0,0,3.9,2.9
Jimmy Graham,GNB,TE,33,16,2.4,27.9,NA,NA
JJ Arcega-Whiteside,PHI,wr,23,16,0.6,10.6,NA,NA
JJ Nelson,OAK,NA,27,2,2,18,NA,NA
Joe Flacco,DEN,QB,34,8,0,0,2.5,1.5
Joe Mixon,CIN,RB,23,16,2.2,17.9,71.1,17.4
John Brown,BUF,WR,29,15,4.8,70.7,0.5,0.1
John Franklin,TAM,NA,25,1,0,0,11,1
John Kelly,LAR,NA,23,4,0,0,2.3,0.8
John Ross,CIN,WR,24,8,3.5,63.3,0.5,0.4
John Ursua,SEA,NA,25,3,0.3,3.7,NA,NA
Johnny Holton,PIT,/wr,29,16,0.2,1.3,0.6,0.1
Johnny Mundt,LAR,NA,25,13,0.3,2,NA,NA
Jon Hilliman,NYG,NA,24,3,1,0.3,30.3,10
Jonathan Williams,IND,NA,25,9,0.6,6.6,26.1,5.4
Jonnu Smith,TEN,TE,24,16,2.2,27.4,4.9,0.3
Jordan Akins,HOU,TE,27,16,2.3,26.1,NA,NA
Jordan Howard,PHI,/rb,25,10,1,6.9,52.5,11.9
Jordan Matthews,2TM,NA,27,3,1.3,11,NA,NA
Jordan Scarlett,CAR,NA,23,9,0,0,1,0.4
Jordan Thomas,HOU,NA,23,5,0.2,1.6,NA,NA
Jordan Wilkins,IND,NA,25,14,0.5,3.1,21.9,3.6
Josh Adams,NYJ,NA,23,3,0,0,4,2.7
Josh Allen,BUF,QB,23,16,0,0,31.9,6.8
Josh Bellamy,NYJ,NA,30,7,0.3,2.9,NA,NA
Josh Ferguson,WAS,NA,26,2,0,0,4.5,1.5
Josh Gordon,2TM,NA,28,11,2.5,38.7,0.1,0.1
Josh Hill,NOR,TE,29,16,1.6,14.1,NA,NA
Josh Jacobs,OAK,RB,21,13,1.5,12.8,88.5,18.6
Josh Oliver,JAX,NA,22,4,0.8,3.8,NA,NA
Josh Reynolds,LAR,NA,24,16,1.3,20.4,1.4,0.3
Josh Rosen,MIA,NA,22,6,0,0,2.2,0.5
Joshua Perkins,PHI,NA,26,5,1.8,17.4,NA,NA
JuJu Smith-Schuster,PIT,WR,23,12,3.5,46,NA,NA
Julian Edelman,NWE,WR,33,16,6.3,69.8,1.7,0.5
Julio Jones,ATL,WR,30,15,6.6,92.9,-0.2,0.1
Justice Hill,BAL,NA,22,16,0.5,4.4,14.1,3.6
Justin Hardy,ATL,/wr,28,16,1.2,12.2,NA,NA
Justin Jackson,LAC,NA,23,7,1.3,3.1,28.6,4.1
Justin Watson,TAM,NA,23,16,0.9,9.9,NA,NA
Kaden Smith,NYG,te,22,9,3.4,29.8,NA,NA
Kalen Ballage,MIA,RB,24,12,1.2,5.3,11.3,6.2
Kalif Raymond,TEN,NA,25,8,1.1,21.3,-0.6,0.1
Kareem Hunt,CLE,NA,24,8,4.6,35.6,22.4,5.4
Keelan Cole,JAX,NA,26,16,1.5,22.6,0.4,0.1
Keelan Doss,OAK,NA,23,8,1.4,16.6,NA,NA
Keenan Allen,LAC,WR,27,16,6.5,74.9,1,0.2
KeeSean Johnson,ARI,NA,23,10,2.1,18.7,0.3,0.1
Keith Smith,ATL,fb,27,16,0.1,0.8,0.5,0.3
Keke Coutee,HOU,NA,22,9,2.4,28.2,1.6,0.2
Kelvin Harmon,WAS,WR,23,16,1.9,22.8,NA,NA
Kendrick Bourne,SFO,NA,24,16,1.9,22.4,NA,NA
Kenjon Barner,ATL,NA,30,14,0.4,1.6,2,0.3
Kenny Golladay,DET,WR,26,16,4.1,74.4,NA,NA
Kenny Stills,HOU,wr,27,13,3.1,43.2,NA,NA
Kenyan Drake,2TM,NA,25,14,3.6,24.6,58.4,12.1
Kerrith Whyte Jr,PIT,NA,23,6,0.2,1.5,20.3,4
Kerryon Johnson,DET,RB,22,8,1.3,15.9,50.4,14.1
Kevin Byard,TEN,FS,26,16,0.1,0.7,NA,NA
KhaDarel Hodge,CLE,NA,24,16,0.3,4.8,NA,NA
Khari Blasingame,TEN,NA,23,6,0.7,9,NA,NA
Kirk Cousins,MIN,QB,31,15,0,0,4.2,2.1
Krishawn Hogan,NOR,NA,24,8,0.1,0.5,NA,NA
Kyle Allen,CAR,QB,23,13,0,0,8.2,2.5
Kyle Juszczyk,SFO,FB,28,12,1.7,19.9,0.6,0.3
Kyle Rudolph,MIN,TE,30,16,2.4,22.9,NA,NA
Kyler Murray,ARI,QB,22,16,0,0,34,5.8
Lamar Jackson,BAL,QB,22,15,0,0,80.4,11.7
Lance Kendricks,LAC,/te,31,12,0.3,4.2,NA,NA
Laquon Treadwell,MIN,/wr,24,13,0.7,14.2,NA,NA
Larry Fitzgerald,ARI,WR,36,16,4.7,50.3,NA,NA
Latavius Murray,NOR,rb,29,16,2.1,14.7,39.8,9.1
Le'Veon Bell,NYJ,RB,27,15,4.4,30.7,52.6,16.3
Lee Smith,BUF,wr,32,16,0.3,1.9,NA,NA
Leonard Fournette,JAX,RB,24,15,5.1,34.8,76.8,17.7
LeSean McCoy,KAN,RB,31,13,2.2,13.9,35.8,7.8
Levine Toilolo,SFO,NA,28,13,0.2,0.8,NA,NA
Logan Thomas,DET,/te,28,16,1,10.8,NA,NA
Luke Stocker,ATL,te,31,15,0.5,3.5,NA,NA
Luke Willson,SEA,te,29,8,1,9.9,NA,NA
Mack Hollins,2TM,NA,26,16,0.6,7.8,NA,NA
Malcolm Brown,LAR,NA,26,14,0.1,1.1,18.2,4.9
Malik Turner,SEA,NA,23,15,1,16.3,NA,NA
Marcedes Lewis,GNB,TE,35,16,0.9,9.8,NA,NA
Marcell Ateman,OAK,NA,25,11,0.5,10.5,NA,NA
Marcus Johnson,IND,WR,25,8,2.1,34.6,NA,NA
Marcus Mariota,TEN,qb,26,7,0,0,18.4,3.4
Mark Andrews,BAL,NA,24,15,4.3,56.8,NA,NA
Mark Ingram,BAL,RB,30,15,1.7,16.5,67.9,13.5
Mark Walton,MIA,NA,22,7,2.1,12.7,28.7,7.6
Marlon Mack,IND,RB,23,14,1,5.9,77.9,17.6
Marqise Lee,JAX,NA,28,6,0.5,3,0.2,0.2
Marquez Valdes-Scantling,GNB,WR,25,16,1.6,28.3,0.6,0.1
Marquise Brown,BAL,wr,22,14,3.3,41.7,NA,NA
Marquise Goodwin,SFO,wr,29,9,1.3,20.7,1.7,0.1
Marshawn Lynch,SEA,NA,33,1,0,0,34,12
Marvin Hall,DET,NA,26,9,0.8,29,0.8,0.1
Marvin Jones,DET,WR,29,13,4.8,59.9,0,0.2
Mason Rudolph,PIT,QB,24,10,0,0,4.2,2.1
Matt Breida,SFO,rb,24,13,1.5,9.2,47.9,9.5
Matt Haack,MIA,NA,25,16,0,0,0.1,0.1
Matt LaCosse,NWE,TE,27,11,1.2,11.9,NA,NA
Matt Ryan,ATL,QB,34,15,0,0,9.8,2.3
Matthew Stafford,DET,QB,31,8,0,0,8.3,2.5
Maxx Williams,ARI,TE,25,16,0.9,12.6,NA,NA
Mecole Hardman,KAN,wr,21,16,1.6,33.6,1.1,0.3
Melvin Gordon,LAC,RB,26,12,3.5,24.7,51,13.5
Michael Crabtree,ARI,NA,32,2,2,11,NA,NA
Michael Gallup,DAL,WR,23,14,4.7,79.1,NA,NA
Michael Thomas,NOR,WR,26,16,9.3,107.8,-0.6,0.1
Michael Walker,JAX,NA,23,7,0.3,2.1,NA,NA
Mike Boone,MIN,NA,24,16,0.2,1.1,17.1,3.1
Mike Davis,2TM,NA,26,12,0.6,1.8,2.3,1.1
Mike Evans,TAM,WR,26,13,5.2,89,NA,NA
Mike Gesicki,MIA,te,24,16,3.2,35.6,NA,NA
Mike Thomas,LAR,NA,25,16,0.1,0.9,NA,NA
Mike Williams,LAC,WR,25,15,3.3,66.7,0.1,0.1
Miles Boykin,BAL,WR,23,16,0.8,12.4,NA,NA
Miles Sanders,PHI,RB,22,16,3.1,31.8,51.1,11.2
Mitchell Trubisky,CHI,QB,25,15,0,0,12.9,3.2
Mo Alie-Cox,IND,NA,26,16,0.5,5.8,NA,NA
Mohamed Sanu,2TM,NA,30,15,3.9,34.7,0.7,0.2
MyCole Pruitt,TEN,TE,27,16,0.4,5.6,NA,NA
Myles Gaskin,MIA,NA,22,7,1,7.3,19,5.1
N'Keal Harry,NWE,wr,22,7,1.7,15,7,0.7
Nelson Agholor,PHI,WR,26,11,3.5,33,0.6,0.2
Nick Bawden,DET,NA,23,10,0.4,1.7,NA,NA
Nick Bellore,SEA,NA,30,14,0.1,1.6,NA,NA
Nick Boyle,BAL,TE,26,16,1.9,20.1,NA,NA
