player,age,g,gs,mp,fg,x3p,x2p,ft,trb,ast,stl,blk,tov,pf,pts
Bojan Bogdanović,30,63,63,33.1,6.6,3,3.6,4,4.1,2.1,0.5,0.1,2.5,1.7,20.2
Bol Bol,20,7,0,12.4,2,0.6,1.4,1.1,2.7,0.9,0.3,0.9,1.4,1.6,5.7
Brad Wanamaker,30,71,1,19.3,2.3,0.5,1.8,1.8,2,2.5,0.9,0.2,1.1,1.9000000000000001,6.9
Bradley Beal,26,57,57,36,10.4,3,7.4,6.8,4.2,6.1,1.2,0.4,3.4,2.2,30.5
Brandon Clarke,23,58,4,22.4,5.1,0.4,4.7,1.5,5.9,1.4,0.6,0.8,0.9,1.7,12.1
Brandon Goodwin,24,34,1,12.6,2.2,0.8,1.5,0.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Brandon Ingram,22,62,62,33.9,8.2,2.4,5.8,5,6.1,4.2,1,0.6,3,2.9,23.8
Brandon Knight,28,50,6,18.51,2.388,1.806,0.6,0.82,1.63,2.764,0.40399999999999997,0.1,1.5019999999999998,1.6119999999999999,7.306
Brian Bowen,21,6,1,5.2,0.5,0,0.5,0,1.2,0,0,0.20000000000000004,0.20000000000000004,0.5,1
Brook Lopez,31,68,67,26.7,4.3,1.5,2.8,1.9,4.6,1.5,0.7,2.4,1,2.4,12
Bruce Brown,23,58,43,28.2,3.4,0.6,2.8,1.5,4.7,4,1.1,0.5,1.7,2.8,8.9
Bruno Caboclo,24,60,0,8.106666666666666,1.3,0.21333333333333335,1.0866666666666667,0.29333333333333333,2,0.4233333333333333,0.5133333333333333,0.5633333333333332,0.4166666666666667,1,2.993333333333333
Bruno Fernando,21,56,13,12.7,1.8,0.1,1.8,0.5,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Bryn Forbes,26,63,62,25.1,3.8,2.3,1.5,1.2,2,1.7,0.5,0,0.9,1.8,11.2
Buddy Hield,27,72,44,30.799999999999997,6.9,3.7999999999999994,3.2,1.6,4.6,3,0.8999999999999999,0.2,2.3,2.3,19.2
C.J. Miles,32,10,0,16.1,1.9,1.1,0.8,1.5,1.2,1.2,1,0.4,0.4,1.4,6.4
Caleb Martin,24,18,1,17.6,2.1,1.1,0.8999999999999999,0.8999999999999999,2.1,1.3,0.7,0.4,0.8,1.7999999999999998,6.2
Caleb Swanigan,22,54,2,10.703703703703704,1.0203703703703704,0,1.0203703703703704,0.3111111111111111,3.7203703703703703,1.1444444444444446,0.1,0.3,1.4092592592592592,2.2925925925925927,2.4018518518518515
Cam Reddish,20,58,34,26.7,3.7,1.4,2.2,1.7,3.7,1.5,1.1,0.5,1.7,2.3,10.5
Cameron Johnson,23,57,9,22,3.1,1.9,1.2,0.8,3.3,1.2,0.6,0.4,0.6,1.5,8.8
Cameron Payne,25,8,0,22.9,4.1,1.9,2.3,0.8,3.9,3,1,0.3,1.4,2.5,10.9
Caris LeVert,25,45,31,29.6,6.9,1.8,5.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7
Carmelo Anthony,35,58,58,32.8,5.8,1.5,4.3,2.3,6.3,1.5,0.8,0.5,1.7,2.9,15.4
Carsen Edwards,21,37,0,9.5,1.1,0.6,0.5,0.4,1.3,0.6,0.3,0.1,0.4,0.9000000000000001,3.3
Cedi Osman,24,65,65,29.4,4.1,1.9,2.2,1,3.6,2.4,0.8,0.2,1.4,2.5,11
Chandler Hutchison,23,28,10,18.8,2.9,0.4,2.4,1.6,3.9,0.9,1,0.3,1,1.7,7.8
Chandler Parsons,31,5,0,10.8,1,0.8,0.2,0,1.4,0.6,0.8,0.2,0.6,0.6,2.8
Charlie Brown Jr.,22,10,0,4,0.6,0.3,0.3,0.5,0.4,0.2,0.2,0.2,0.3,0.3,2
Chasson Randle,26,3,0,13.300000000000002,0,0,0,1.7,0.6999999999999998,1.7,0.6999999999999998,0,0,1,1.7
